Wavelength (nm),30 s reaction,30 s reaction_overnight,300 s reaction,300 s reaction_overnight,600 s reaction,600 s reaction_overnight
524.9897461,0.002237539,0.016074609,0.33048892,0.336406469,0.329722583,0.331439108
524.0060425,0.002726802,0.016474634,0.334060669,0.339897186,0.328221828,0.330420613
522.984436,0.003191791,0.017183788,0.336586803,0.342501372,0.326634824,0.329364032
522.0003662,0.003854964,0.017702326,0.338439256,0.344417214,0.325149566,0.328226328
521.0159912,0.004409751,0.01819017,0.33969909,0.345698923,0.323541254,0.326815128
519.9937134,0.005110355,0.018832596,0.340734571,0.346919149,0.321826547,0.325526863
519.0089722,0.005588865,0.019570662,0.340827197,0.347116828,0.320317,0.323936105
517.9862061,0.006037428,0.020358648,0.340453893,0.34687075,0.319671243,0.322073102
517.0010986,0.006755099,0.020969873,0.340075046,0.3464894,0.318081975,0.320614785
516.0157471,0.007593036,0.021726739,0.339554697,0.346007943,0.316225678,0.319162011
514.9923096,0.008493487,0.022444963,0.338565141,0.344940752,0.314038962,0.317342848
514.0065308,0.00914538,0.023287265,0.337181628,0.343524307,0.311946243,0.315589935
512.9825439,0.009934417,0.024152903,0.335771889,0.342184186,0.310417652,0.314065307
511.9963989,0.010635217,0.02492757,0.334384948,0.340901941,0.309407681,0.312476456
511.0099182,0.011418012,0.025825469,0.333043039,0.339510232,0.308187217,0.311376542
509.9854126,0.012156669,0.026507584,0.331342697,0.337855607,0.306742609,0.309995681
508.9985657,0.013081528,0.027505577,0.329626948,0.336061508,0.305534631,0.308726102
508.0115356,0.013687985,0.028048715,0.328070372,0.334672421,0.304475933,0.307627529
506.9863586,0.014361427,0.028730849,0.326400966,0.332908809,0.303277671,0.306512564
505.9988098,0.014980366,0.02941389,0.325256914,0.331476688,0.302253246,0.305763394
505.0112,0.015672857,0.029949298,0.323768258,0.330124885,0.301341265,0.304874599
503.9853516,0.016313478,0.030735772,0.322069585,0.328337967,0.301189482,0.304144621
502.9971924,0.016994372,0.031324893,0.320525169,0.326999635,0.300532401,0.303499699
502.0089111,0.017419793,0.031777602,0.319212943,0.325631976,0.299864411,0.303027302
500.9823914,0.017817553,0.032196458,0.318092346,0.324454814,0.299231529,0.30249694
499.9936829,0.018335769,0.03260674,0.31679067,0.323199064,0.298718542,0.302193433
499.0047913,0.018765127,0.033175129,0.315817267,0.322121233,0.298831731,0.302047521
498.0157166,0.019130712,0.03334415,0.314813286,0.320893765,0.298355788,0.301703513
496.9883118,0.019256521,0.033696342,0.313761115,0.319820166,0.298923075,0.30153355
495.9987793,0.019554522,0.034010161,0.313091815,0.319121063,0.299180776,0.30149287
495.0090942,0.01993099,0.034283586,0.312529594,0.318318427,0.299042583,0.301764488
493.9810791,0.020332931,0.034529071,0.312101692,0.317988068,0.298851371,0.302258641
492.9909973,0.020600267,0.034616444,0.311787456,0.317366809,0.29806599,0.302573383
492.0005493,0.020443162,0.034785211,0.31079489,0.316765398,0.299646616,0.302613944
491.0100098,0.020374574,0.035038166,0.310632378,0.316567153,0.302009404,0.303246051
489.9812012,0.020945558,0.035045318,0.310846508,0.316455722,0.301568747,0.304116488
