Wavelength (nm),30 s,60 s,90 s,120 s,150 s,180 s,210 s,240 s,270 s,300 s,330 s,360 s,390 s,420 s,570 s,600 s
561.0132446,-0.001371342,0.009876445,0.00327402,0.008562838,0.00776701,0.016382288,0.013738239,0.007326873,0.008752442,0.013547995,0.070416063,0.01151824,0.016062226,0.02116905,0.064922079,0.035037603
560.0001831,-0.00143012,0.009890083,0.003304041,0.008697664,0.007617114,0.016566759,0.013997453,0.007706218,0.009168328,0.01397326,0.070580333,0.012171125,0.017196607,0.022426456,0.070635974,0.038288731
558.9868164,-0.001239565,0.010252485,0.003649004,0.009201773,0.007984742,0.017224913,0.014862674,0.008231785,0.010283178,0.014603104,0.072375648,0.013410026,0.019059004,0.023933316,0.077579029,0.041991334
558.0109253,-0.001085336,0.010606833,0.003859456,0.009510256,0.008307374,0.01761492,0.015544219,0.008926273,0.0109418,0.015100395,0.072769515,0.014601042,0.020784039,0.025692992,0.085037231,0.046133675
556.9971924,-0.000985086,0.010920112,0.004218034,0.00999629,0.008703237,0.018106796,0.016491842,0.009755813,0.012054324,0.015861027,0.073464014,0.016075119,0.023094295,0.027846662,0.093580984,0.050864574
555.9832153,-0.000699652,0.011169681,0.004556531,0.010376755,0.009198521,0.018769316,0.017385088,0.010652434,0.01319148,0.016763253,0.074913897,0.01762007,0.025578648,0.030023854,0.103572913,0.056078475
555.0065308,-0.000706009,0.011403103,0.004651864,0.010840988,0.009410702,0.019381583,0.01828355,0.011435818,0.014354953,0.017643254,0.076227523,0.019292323,0.028061969,0.032269228,0.113280103,0.061420858
553.9920654,-0.000617873,0.011739749,0.005038568,0.011293177,0.009917599,0.020182459,0.019464388,0.012621824,0.01579128,0.018627491,0.078319579,0.021271853,0.030969085,0.035137177,0.124236725,0.067395948
553.0148926,-0.00046849,0.011831272,0.00521988,0.011777169,0.01043824,0.020904597,0.020733479,0.013578895,0.017235847,0.019632353,0.079539314,0.02334252,0.034086704,0.038018763,0.13566801,0.073436022
551.999939,-0.00025335,0.012357117,0.005738719,0.012643997,0.010914511,0.022015411,0.022346543,0.015050842,0.01918444,0.021022633,0.081100158,0.025744764,0.037794143,0.041248899,0.148193345,0.08017844
550.9848022,-0.000310003,0.012589633,0.005923997,0.013100363,0.011498862,0.022941824,0.023880064,0.016588731,0.021113444,0.022288661,0.083154775,0.028416842,0.041606143,0.044733252,0.162279233,0.087508254
550.007019,-0.000124235,0.012909786,0.006295998,0.013851617,0.012124885,0.024035435,0.025582436,0.018177941,0.023103002,0.023745308,0.084922388,0.031110773,0.045671482,0.048492089,0.176782608,0.094838418
548.991333,5.54E-05,0.013281442,0.006703307,0.014608378,0.012889386,0.025377357,0.027566198,0.020046704,0.025731003,0.025637271,0.087804288,0.034414031,0.050570913,0.052570235,0.192778036,0.103019841
548.0130615,0.000169897,0.013538008,0.007034091,0.015428252,0.013755525,0.026750006,0.029817803,0.022049235,0.028404875,0.027322853,0.090765379,0.037636254,0.055342928,0.057203539,0.208477393,0.111173868
546.9968872,0.000345327,0.01382925,0.007553919,0.016252069,0.014701713,0.028461199,0.032243382,0.024093905,0.030919077,0.029015416,0.094369017,0.040925883,0.060194429,0.061313763,0.223284841,0.118730545
546.0181885,0.000295615,0.014137321,0.007923655,0.017153896,0.015617792,0.030150583,0.034780249,0.026199853,0.033720262,0.030689457,0.097427584,0.04422047,0.0650516,0.065584563,0.238868639,0.126384303
545.0015259,0.000437279,0.01450912,0.008464267,0.018244591,0.016657045,0.03198383,0.037543617,0.028783178,0.036937717,0.032922924,0.100848503,0.048303213,0.070625372,0.070464835,0.25567925,0.134738743
543.9847412,0.000536352,0.014872907,0.00916489,0.019762967,0.018221725,0.034533191,0.041301876,0.032062944,0.041048039,0.035554457,0.10414774,0.053002156,0.077545539,0.076229282,0.27555421,0.14431563
543.0053101,0.00078674,0.015451963,0.010108086,0.021338435,0.019904677,0.037119262,0.045167416,0.035510801,0.045332491,0.038326561,0.109141231,0.057723347,0.08461573,0.082285628,0.294198841,0.153555065
541.987915,0.000851265,0.015855363,0.01070958,0.022919474,0.021580243,0.039630007,0.048937645,0.038532473,0.049351674,0.040799525,0.113959462,0.06202504,0.09064398,0.087929592,0.311041802,0.161796555
541.0080566,0.001080503,0.016422505,0.011497321,0.024439989,0.023301631,0.042276282,0.052817479,0.041494966,0.053033102,0.042951543,0.11794284,0.066354327,0.096315973,0.092730671,0.325337976,0.168732181
539.9902954,0.001083124,0.016920459,0.012289261,0.026228093,0.025041413,0.045165807,0.056727801,0.045016788,0.057380609,0.045554318,0.120127879,0.070841461,0.102759853,0.097914666,0.341517746,0.175960451
539.0100098,0.001293764,0.017491445,0.013427193,0.028724765,0.027424751,0.048827183,0.061804194,0.049343061,0.062385749,0.048844419,0.125374466,0.076112829,0.110212863,0.104199432,0.359087497,0.184524432
537.9917603,0.001403862,0.018220646,0.01475594,0.03149851,0.030154441,0.052757964,0.067368738,0.05398538,0.067853563,0.052271273,0.129630432,0.081828654,0.117999323,0.110693403,0.377390057,0.192698032
537.0109863,0.001567866,0.01877467,0.016001899,0.033885717,0.032560613,0.056189593,0.072133951,0.057546463,0.072419472,0.054852922,0.135078341,0.086477466,0.124062054,0.115749583,0.390149236,0.198510081
535.9922485,0.001725643,0.019497771,0.017379241,0.036622398,0.035117667,0.059954599,0.07714992,0.06159196,0.077129543,0.057579152,0.138542265,0.091017649,0.12989068,0.120784812,0.403354704,0.204104409
