Wavelength (nm),Run 2 60 s,Run 3 30 s,Run 4 360 s,Run 5 150 s,Run 6 30 s,Run 7 120 s,Run 8 150 s,Run 9 30 s
577.9400024,46.36823654,12.56148243,61.57313919,18.9753933,39.25663376,34.62888718,50.78340149,65.64143372
578.9699707,44.96506119,12.39126873,60.98106003,18.81439209,39.24480057,34.543396,50.71894073,64.78191376
580,44.10336304,12.36729527,60.09006119,18.59288979,39.22024536,33.7057991,50.18904877,65.3789978
581.0200195,44.08321381,12.07874298,59.66682816,18.7091465,38.91346359,34.09344101,49.76652527,64.59970093
582.0499878,43.07907867,12.38854885,59.2992897,18.57810783,38.31198883,33.51466751,49.5352211,64.44116211
582.9400024,42.57883072,11.93143654,58.10565948,18.19609642,38.02495956,33.07604218,49.13050079,64.1127243
583.9699707,42.12491989,11.96048737,58.43762207,18.32754898,38.04318619,33.12094879,49.6076355,63.98945236
585,41.39074326,11.70867443,57.79465866,18.47916603,37.9016571,32.92363358,48.64399338,63.51917267
586.0200195,41.06242371,11.56959343,56.50194931,18.38161087,37.5429039,32.63318253,48.70085526,62.96025848
587.0499878,40.35788345,11.53227711,55.92567444,18.41596794,37.15891647,32.19969177,48.79546738,62.77586365
587.9400024,39.91290665,11.37487602,56.34261322,18.37162209,37.33468246,32.12539291,48.70687485,62.22477341
588.9699707,39.55942154,11.32424068,55.57746124,18.09597969,37.10987091,31.92557335,49.1194458,62.30745697
590,39.06926346,11.06628799,55.14247894,18.35549927,37.3532486,31.6552887,48.40031433,61.84165192
591.0100098,38.72660828,11.09785461,54.36808777,18.30739975,36.84431839,31.80979538,48.55522919,61.87546158
592.0200195,38.44176865,11.24503803,54.29773712,18.32394028,36.53416824,31.39514542,48.73690414,61.41717148
593.039978,37.82145691,11.08058643,54.06079865,18.17676353,36.65336609,31.1934166,48.70345688,61.57133102
594.0499878,37.20191193,11.06987286,53.07715988,18.32218933,36.49527359,31.04081535,48.04750824,61.17444992
595.0700073,36.6587944,11.1454134,52.68366241,18.12223816,35.91100311,31.08819389,47.93722153,61.47042847
595.9400024,36.13386536,10.82051754,52.41944122,18.27420044,36.07019806,30.65307617,48.03223419,61.81518173
596.9500122,36.06663132,10.76588154,52.20542526,18.51113701,35.98353195,30.7114296,48.5872612,61.42297363
597.9699707,35.17437744,10.74685097,51.61090088,18.55266953,35.88322067,30.47825432,48.0017662,60.61371994
598.9799805,35.44447708,10.74327087,51.09840775,18.36606026,35.47793579,30.60791969,47.95333481,61.23719025
600,34.95320129,10.85824871,50.97454453,18.51316833,35.2001915,30.31642151,48.13839722,60.68320465
